,year_week,weekly_average,weekly_max,weekly_min
96,2016-week(03),398.0729568693333,420.90587695,380.57969277
97,2016-week(04),388.032758768,397.01630643,375.83782926999993
98,2016-week(05),378.06017643933336,390.10311631,370.50511174
99,2016-week(06),381.64350017933333,395.62917280666665,373.53523542
100,2016-week(07),416.41286584600005,432.82699955,400.87285282
101,2016-week(08),428.4630097746666,439.40559929,421.44388706
102,2016-week(09),424.5287549333333,436.97676383,405.2963715166666
103,2016-week(10),415.1067775413333,417.75042584,413.90614525
104,2016-week(11),417.2673255613334,421.30801143,411.45164999666673
105,2016-week(12),417.9916812519999,420.85806844000007,413.86937646
106,2016-week(13),418.3652153373333,423.9966488,414.17258899
107,2016-week(14),422.2493241686667,423.86656345,420.25115731333335
108,2016-week(15),426.49813005066665,430.57298573333327,423.96967656
109,2016-week(16),442.74366118666666,453.3402553833333,430.53545163
110,2016-week(17),455.52485695333326,467.74606019,444.80772741
111,2016-week(18),450.84438045400003,460.72865528,445.06394618
112,2016-week(19),457.80869623333336,467.24195148,452.08234833
113,2016-week(20),450.2926321633334,457.11596698,438.40491105
114,2016-week(21),462.28967862,508.65505843,446.24983855
115,2016-week(22),543.2555400353334,573.3297267466667,531.21084087
116,2016-week(23),589.1824073086666,620.2304526433333,577.07792023
117,2016-week(24),721.4000899513333,766.33167213,685.36555095
118,2016-week(25),653.933280222,737.22057818,591.10769438
119,2016-week(26),658.2174965906667,678.2119080533333,639.81147302
120,2016-week(27),663.963548402,681.35741676,638.98834033
121,2016-week(28),656.39609079,670.8598832600002,649.6387336
122,2016-week(29),672.1984601053333,681.41467098,659.9838670766667
123,2016-week(30),655.3577704960001,658.02845461,647.85193315
124,2016-week(31),575.4525623019999,608.47653368,537.82421108
125,2016-week(32),590.1302560486668,593.56649125,583.7833325833334
126,2016-week(33),576.2990429893333,581.1294865166666,569.3781236000001
127,2016-week(34),583.0177122093334,588.91558032,578.3749749666666
128,2016-week(35),580.8852970593333,594.5825032966667,575.55367446
129,2016-week(36),615.0498514766666,626.06516738,606.46279651
130,2016-week(37),608.7809341533333,610.59872298,608.06745252
131,2016-week(38),602.6530196186667,609.49830876,595.64618393
132,2016-week(39),606.63584609,610.6308163299999,604.58234222
133,2016-week(40),611.8746626679999,616.67101642,609.21586589
134,2016-week(41),634.0494941180001,640.68540843,617.69930021
135,2016-week(42),636.463104774,648.01578703,629.72246902
136,2016-week(43),674.226894376,701.6804182299999,651.69166743
137,2016-week(44),712.5354267006667,741.46436653,688.08174565
138,2016-week(45),712.0969738093333,722.71255143,704.57809091
139,2016-week(46),729.2201315513333,744.4184357366668,706.23606383
140,2016-week(47),742.131248202,751.24299569,736.8176223300002
141,2016-week(48),747.8967488513333,771.5573941066667,734.53682558
142,2016-week(49),763.6078235913333,770.2334934966666,757.45795274
143,2016-week(50),777.6687496280001,782.9287873200002,774.83075283
144,2016-week(51),833.31804971,897.02792807,787.91800419
145,2016-week(52),944.6869362753334,970.24294125,896.38612084
146,2017-week(01),1012.6741716153332,1131.52240191,897.5353310266668
147,2017-week(02),838.305083814,899.96756487,775.51282413
148,2017-week(03),881.9074061366667,901.4980447633334,827.17318068
149,2017-week(04),905.4885819900001,918.42602307,888.21200022
150,2017-week(05),976.6589474486667,1017.3765979633334,916.89020069
151,2017-week(06),1020.9378990826666,1050.4633752999998,982.95467934
152,2017-week(07),1020.9321139573333,1052.9182427066664,996.79838328
153,2017-week(08),1133.9957135713335,1170.89112823,1084.33658853
154,2017-week(09),1226.3975498213333,1275.2490216366666,1188.03507724
155,2017-week(10),1204.9922699153333,1277.45142842,1150.74431133
156,2017-week(11),1187.7921432099997,1253.22808963,1024.28592528
157,2017-week(12),1042.259927314,1121.30647653,960.76463673
158,2017-week(13),1052.534416654,1089.12804932,1039.7345524
159,2017-week(14),1161.5308405713336,1193.3152401466666,1131.52420309
160,2017-week(15),1203.3774197573334,1224.27785683,1178.71466155
161,2017-week(16),1236.6297333406667,1264.2342470333333,1210.80337352
162,2017-week(17),1309.1502691513333,1348.6990253566667,1266.61463862
163,2017-week(18),1494.4457960533334,1541.8045267266668,1436.5809052000002
164,2017-week(19),1739.384236908667,1821.65899311,1662.30967723
165,2017-week(20),1832.0086946433335,2014.073689386667,1722.56311699
166,2017-week(21),2246.5459122573334,2439.0727155,2117.01564781
167,2017-week(22),2324.210107777333,2506.6969257066667,2184.17165532
168,2017-week(23),2783.074173783333,2885.2954889066664,2686.39679983
169,2017-week(24),2560.0664141686666,2709.07863494,2428.2988425999997
170,2017-week(25),2670.5873151746664,2752.48879228,2607.9602720433336
171,2017-week(26),2517.2872532726665,2569.41260298,2457.17239793
172,2017-week(27),2581.43415864,2614.74636843,2524.47736228
173,2017-week(28),2295.4719002026663,2399.19238371,2052.399007463333
174,2017-week(29),2477.0407610613333,2815.0857011999997,2225.78378744
175,2017-week(30),2664.3356339086668,2767.0918991333333,2543.68118053
176,2017-week(31),2875.992025784667,3120.891357623333,2709.04912374
177,2017-week(32),3491.4078657346663,3865.181056023333,3350.70367836
178,2017-week(33),4255.217962952666,4390.52626728,4113.879184303333
179,2017-week(34),4163.328901988667,4358.564934323334,3971.12284001
180,2017-week(35),4604.640650022,4736.96532709,4387.75935103
181,2017-week(36),4452.329035686667,4638.53781589,4268.64267295
182,2017-week(37),3841.8535485219995,4214.14905164,3235.70274186
183,2017-week(38),3847.4035842333337,4090.98563091,3626.11063027
184,2017-week(39),4115.198642940667,4315.412921903334,3905.45701815
185,2017-week(40),4354.327367276,4480.199224020002,4227.03470057
186,2017-week(41),5100.518817708,5709.982071809999,4763.77707273
187,2017-week(42),5727.532718949334,6002.535720886666,5572.4177099
188,2017-week(43),5786.103067254,5894.72549395,5512.76949242
189,2017-week(44),6739.303119209333,7333.0265214266665,6139.94308537
190,2017-week(45),6991.705901833334,7479.92784814,6272.810354846668
191,2017-week(46),7210.826764865999,7849.40599879,6505.45506523
192,2017-week(47),8277.384365575334,8763.678285466667,8045.05714075
193,2017-week(48),10085.047401854667,11011.146251333335,9718.30438333
194,2017-week(49),13906.488563743998,17163.75559839,11603.41266981
195,2017-week(50),17066.316924694667,18689.846043713333,16338.37805474
196,2017-week(51),16495.399295877334,18966.05457066,13942.236232696667
197,2017-week(52),14629.182764436666,15721.55746641,13702.777463563334
198,2018-week(00),15089.723131893334,16825.483894196666,13517.3498069
199,2018-week(01),14363.849183288665,15062.50412887,13342.65182265
200,2018-week(02),11896.257833975335,13652.96777927,11130.33663948
201,2018-week(03),11152.516941001999,11451.50260513,10837.64388054
202,2018-week(04),9895.180170196,11250.60196057,8799.11938997
203,2018-week(05),7791.694823923999,8460.31983481,6920.40485183
204,2018-week(06),9516.669315692667,10569.906495103334,8559.33043011
205,2018-week(07),10576.144054354003,11228.33606205,9837.72055535
